,name,latitude,longitude,category
47,North Star Academy Charter,40.74492,-74.232932,school
48,Public School 72,40.822988,-73.818088,school
49,Academy Of Mt St Ursula,40.868985,-73.885928,school
0,Starbucks,40.714207,-74.01571,starbucks
1,Starbucks,40.711052,-74.004848,starbucks
2,Starbucks,40.705271,-74.011165,starbucks
3,Starbucks,40.718209,-74.007401,starbucks
4,Starbucks,40.711646,-74.006792,starbucks
5,Starbucks,40.715787,-74.003246,starbucks
6,Starbucks,40.704517,-74.013099,starbucks
7,Starbucks,40.713737,-74.009232,starbucks
8,Starbucks,40.712073,-74.010911,starbucks
9,Starbucks,40.710914,-74.009905,starbucks
10,Starbucks,40.708829,-74.011219,starbucks
11,Starbucks,40.72065,-74.010859,starbucks
12,Starbucks,40.714792,-74.006131,starbucks
13,Starbucks,40.705266,-74.011339,starbucks
14,Starbucks,40.708392,-74.007449,starbucks
15,Starbucks,40.703248,-74.014139,starbucks
16,Starbucks,40.704832,-74.007482,starbucks
17,Starbucks,40.718878,-74.002626,starbucks
18,Starbucks,40.715528,-74.008823,starbucks
19,Starbucks,40.707166,-74.004956,starbucks
20,Starbucks,40.710262,-74.00809,starbucks
21,Starbucks,40.729189,-74.005033,starbucks
22,Starbucks,40.741678,-74.005275,starbucks
23,Starbucks,40.726299,-74.033087,starbucks
24,Starbucks,40.704571,-74.00913,starbucks
25,Starbucks,40.702689,-73.991078,starbucks
26,Starbucks,40.719677,-73.999035,starbucks
27,Starbucks,40.726818,-74.000234,starbucks
28,Starbucks,40.722501,-73.997905,starbucks
29,Starbucks,40.733063,-74.002707,starbucks
30,Starbucks,40.694525,-73.993898,starbucks
31,Starbucks,40.70286,-74.012553,starbucks
32,Starbucks,40.689028,-73.98583,starbucks
33,Starbucks,40.690745,-73.986159,starbucks
34,Starbucks,40.715882,-74.033323,starbucks
35,Starbucks,40.740498,-74.005054,starbucks
36,Starbucks,40.719481,-74.041718,starbucks
37,Starbucks,40.691703,-73.988596,starbucks
38,Starbucks,40.695038,-73.982924,starbucks
39,Starbucks,40.69121,-73.982905,starbucks
40,Starbucks,40.730042,-73.99164,starbucks
41,Starbucks,40.727217,-73.995491,starbucks
42,Starbucks,40.719332,-73.989898,starbucks
43,Starbucks,40.725812,-74.00552,starbucks
44,Starbucks,40.693128,-73.983766,starbucks
45,Starbucks,40.736948,-73.996704,starbucks
46,Starbucks,40.733035,-73.999737,starbucks
47,Starbucks,40.724786,-73.987668,starbucks
48,Starbucks Reserve,40.73667,-74.000784,starbucks
49,Starbucks Pick Up,40.734202,-73.992344,starbucks
0,Pet Food Express,37.78757,-122.446339,basketball-court
1,Pawtrero Hill BathHouse & Feed,37.78382,-122.389322,basketball-court
2,Wag Hotels San Francisco,37.768475,-122.414103,basketball-court
3,Wags Pet Wash & Boutique,37.793742,-122.421187,basketball-court
4,The Dog Barber,37.770428,-122.424897,basketball-court
5,Healthy Spot,37.772602,-122.391695,basketball-court
6,Wag Hotels Oakland,37.793147,-122.26523,basketball-court
7,Animal House,37.770924,-122.430374,basketball-court
8,The Pawington,37.641349,-122.40382,basketball-court
9,Groom,37.782831,-122.469349,basketball-court
10,Bernie's Grooming,37.766871,-122.412862,basketball-court
11,SF Puppy Love,37.779676,-122.401321,basketball-court
12,Russian Hill Dog Grooming Express,37.787221,-122.432987,basketball-court
13,Bubbles & Beans Laundromat,37.751867,-122.422367,basketball-court
14,Russian Hill Dog Grooming,37.798507,-122.419103,basketball-court
15,The Grateful Dog - Sf,37.800338,-122.43061,basketball-court
16,Kosita's Pet Grooming,37.73929,-122.417612,basketball-court
17,Fog City Dogs,37.738534,-122.403523,basketball-court
18,Top Dog Boutique & Grooming,37.780892,-122.473748,basketball-court
19,Ocean Paws by Expert Pet,37.724463,-122.459947,basketball-court
20,SF Dog Parlour,37.71117,-122.404061,basketball-court
21,Under One Woof,37.776584,-122.276901,basketball-court
22,Broadway Grooming Clinic,37.803034,-122.276276,basketball-court
23,All About the Dogue Salon & Spa,37.829573,-122.279174,basketball-court
24,Bliss Bound Hound,37.811891,-122.251023,basketball-court
