,name,latitude,longitude,category,geometry
14,169 Bar,40.713955,-73.989791,club,"{'type': 'Point', 'coordinates': [40.713955, -73.989791]}"
15,Stonewall Inn,40.733886,-74.002172,club,"{'type': 'Point', 'coordinates': [40.733886, -74.002172]}"
16,The Narrows,40.704146,-73.930789,club,"{'type': 'Point', 'coordinates': [40.704146, -73.930789]}"
17,The Carnegie Club,40.764334,-73.979652,club,"{'type': 'Point', 'coordinates': [40.764334, -73.979652]}"
18,STK,40.739906,-74.007332,club,"{'type': 'Point', 'coordinates': [40.739906, -74.007332]}"
19,Indoors at Nowadays,40.692844,-73.901482,club,"{'type': 'Point', 'coordinates': [40.692844, -73.901482]}"
20,Mercury Lounge,40.722113,-73.986777,club,"{'type': 'Point', 'coordinates': [40.722113, -73.986777]}"
21,Rudy's Bar & Grill,40.760014,-73.991715,club,"{'type': 'Point', 'coordinates': [40.760014, -73.991715]}"
22,The Frying Pan,40.752274,-74.00849,club,"{'type': 'Point', 'coordinates': [40.752274, -74.00849]}"
23,Duff's,40.708761,-73.957888,club,"{'type': 'Point', 'coordinates': [40.708761, -73.957888]}"
24,The Eagle,40.751736,-74.00445,club,"{'type': 'Point', 'coordinates': [40.751736, -74.00445]}"
25,Good Room,40.726855,-73.952868,club,"{'type': 'Point', 'coordinates': [40.726855, -73.952868]}"
26,Nublu,40.725644,-73.977967,club,"{'type': 'Point', 'coordinates': [40.725644, -73.977967]}"
27,Bossa Nova Civic Club,40.69791,-73.928065,club,"{'type': 'Point', 'coordinates': [40.69791, -73.928065]}"
28,The Duplex,40.733762,-74.002493,club,"{'type': 'Point', 'coordinates': [40.733762, -74.002493]}"
29,Sugar Monk,40.808914,-73.951744,club,"{'type': 'Point', 'coordinates': [40.808914, -73.951744]}"
30,The Core Club,40.760528,-73.972688,club,"{'type': 'Point', 'coordinates': [40.760528, -73.972688]}"
31,Ty's,40.733099,-74.005328,club,"{'type': 'Point', 'coordinates': [40.733099, -74.005328]}"
32,Bembe,40.711155,-73.965138,club,"{'type': 'Point', 'coordinates': [40.711155, -73.965138]}"
33,Canal Bar,40.678028,-73.985922,club,"{'type': 'Point', 'coordinates': [40.678028, -73.985922]}"
34,Valhalla,40.765959,-73.987405,club,"{'type': 'Point', 'coordinates': [40.765959, -73.987405]}"
35,Blew Smoke,40.68002,-73.96402,club,"{'type': 'Point', 'coordinates': [40.68002, -73.96402]}"
36,Clandestino,40.71467,-73.990763,club,"{'type': 'Point', 'coordinates': [40.71467, -73.990763]}"
37,The Box,40.72187,-73.992211,club,"{'type': 'Point', 'coordinates': [40.72187, -73.992211]}"
38,Bed-Vyne Cocktail,40.682963,-73.940713,club,"{'type': 'Point', 'coordinates': [40.682963, -73.940713]}"
39,Biddy's Pub,40.781073,-73.949143,club,"{'type': 'Point', 'coordinates': [40.781073, -73.949143]}"
40,Trans Pecos,40.697082,-73.906395,club,"{'type': 'Point', 'coordinates': [40.697082, -73.906395]}"
41,Carolines On Broadway,40.760921,-73.984106,club,"{'type': 'Point', 'coordinates': [40.760921, -73.984106]}"
42,Larry Flynt's Hustler Club,40.767455,-73.995941,club,"{'type': 'Point', 'coordinates': [40.767455, -73.995941]}"
43,Mamajuana Cafe Queens,40.752894,-73.904733,club,"{'type': 'Point', 'coordinates': [40.752894, -73.904733]}"
44,TBA Brooklyn,40.711125,-73.966271,club,"{'type': 'Point', 'coordinates': [40.711125, -73.966271]}"
45,Nowhere,40.73184,-73.984146,club,"{'type': 'Point', 'coordinates': [40.73184, -73.984146]}"
46,The Sackett,40.678022,-73.982172,club,"{'type': 'Point', 'coordinates': [40.678022, -73.982172]}"
47,Xstasy Night Club,40.65855,-73.996581,club,"{'type': 'Point', 'coordinates': [40.65855, -73.996581]}"
48,Union League Club,40.748937,-73.980317,club,"{'type': 'Point', 'coordinates': [40.748937, -73.980317]}"
49,Marquee,40.75004,-74.002688,club,"{'type': 'Point', 'coordinates': [40.75004, -74.002688]}"
0,Fiorello H. LaGuardia High School,40.774004,-73.985273,school,"{'type': 'Point', 'coordinates': [40.774004, -73.985273]}"
1,Townsend Harris High S,40.734939,-73.821328,school,"{'type': 'Point', 'coordinates': [40.734939, -73.821328]}"
2,P.S. 11 - William T. Harris School,40.744393,-74.000666,school,"{'type': 'Point', 'coordinates': [40.744393, -74.000666]}"
3,Brooklyn Technical High School,40.688885,-73.976605,school,"{'type': 'Point', 'coordinates': [40.688885, -73.976605]}"
4,Ps 133 William A Butler,40.680165,-73.980642,school,"{'type': 'Point', 'coordinates': [40.680165, -73.980642]}"
5,Public School 11,40.685519,-73.966021,school,"{'type': 'Point', 'coordinates': [40.685519, -73.966021]}"
6,Ps 282 Park Slope,40.676576,-73.977798,school,"{'type': 'Point', 'coordinates': [40.676576, -73.977798]}"
7,Urban Assembly Unison School,40.68486,-73.960456,school,"{'type': 'Point', 'coordinates': [40.68486, -73.960456]}"
8,Public School 9,40.678459,-73.965965,school,"{'type': 'Point', 'coordinates': [40.678459, -73.965965]}"
9,Ps 321 William Penn,40.671556,-73.978082,school,"{'type': 'Point', 'coordinates': [40.671556, -73.978082]}"
10,Primary Prep,40.726512,-74.066408,school,"{'type': 'Point', 'coordinates': [40.726512, -74.066408]}"
11,Success Academy Midtown West,40.763818,-73.990729,school,"{'type': 'Point', 'coordinates': [40.763818, -73.990729]}"
12,P.S. 111 Adolph S. Ochs,40.766111,-73.98977,school,"{'type': 'Point', 'coordinates': [40.766111, -73.98977]}"
13,High School for Environmental Studies,40.767871,-73.988529,school,"{'type': 'Point', 'coordinates': [40.767871, -73.988529]}"
14,Ps 452,40.771678,-73.987455,school,"{'type': 'Point', 'coordinates': [40.771678, -73.987455]}"
15,Ethical Culture School,40.770904,-73.98017,school,"{'type': 'Point', 'coordinates': [40.770904, -73.98017]}"
16,Ps 199 Jessie Isador Straus,40.77796,-73.984686,school,"{'type': 'Point', 'coordinates': [40.77796, -73.984686]}"
17,William T Sherman School,40.781918,-73.978022,school,"{'type': 'Point', 'coordinates': [40.781918, -73.978022]}"
18,New Heights Middle School,40.662211,-73.93665,school,"{'type': 'Point', 'coordinates': [40.662211, -73.93665]}"
19,Ps 290 Manhattan New School,40.775196,-73.952982,school,"{'type': 'Point', 'coordinates': [40.775196, -73.952982]}"
20,Marymount School/Pratt Mansions,40.779884,-73.961335,school,"{'type': 'Point', 'coordinates': [40.779884, -73.961335]}"
21,Brearley School,40.772588,-73.94554,school,"{'type': 'Point', 'coordinates': [40.772588, -73.94554]}"
22,Rodeph Sholom Day School,40.784157,-73.971029,school,"{'type': 'Point', 'coordinates': [40.784157, -73.971029]}"
23,Manhattan Country School,40.786383,-73.974569,school,"{'type': 'Point', 'coordinates': [40.786383, -73.974569]}"
24,West Side Montessori School,40.793054,-73.975441,school,"{'type': 'Point', 'coordinates': [40.793054, -73.975441]}"
25,St Ephrem School,40.625964,-74.015817,school,"{'type': 'Point', 'coordinates': [40.625964, -74.015817]}"
26,Public School 315,40.633066,-73.954535,school,"{'type': 'Point', 'coordinates': [40.633066, -73.954535]}"
27,Ps85q The Judge Charles Vallone School,40.772913,-73.915008,school,"{'type': 'Point', 'coordinates': [40.772913, -73.915008]}"
28,Elm Community Charter School,40.737539,-73.884172,school,"{'type': 'Point', 'coordinates': [40.737539, -73.884172]}"
29,Stem Institute Of Manhattan,40.801744,-73.95536,school,"{'type': 'Point', 'coordinates': [40.801744, -73.95536]}"
30,Public School 204,40.613675,-74.006225,school,"{'type': 'Point', 'coordinates': [40.613675, -74.006225]}"
